lab_result_id,sample_type,ref_no,lab_no,bd_variant,received_date_raw,corrected_date_received,reported_date,period,project_num,state,trs,trs_confidence,lat,lon,region,latlon_source,customer_raw,farm_business_raw,mukey,texture_class,smf_cluster,bulk_density_g_cm3,core_diam_in,core_length_in,depth_range,toc_pct,tc_pct,cce_pct,inorganic_c_pct,om_pct,om_loi_pct,outlier_spatial_tier,outlier_toc_tier,outlier_bd_flag,match_completeness,op_code,customer_norm,point_id,sample_role
NW255620,BD,21887645,NW255620,A,2025-11-19,2025-11-19,2025-12-29,F25,4.0,ND,T144N-R88W-S26,exact,47.256675,-101.802611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2699374.0,Loam,Medium,1.19,5.1,30.0,,1.66,1.76,0.8,0.1,,2.5,ok,,ok,full,25-37,ferebee crops cattle,706841ba8db2,monitoring
NW255621,BD,21887646,NW255621,A,2025-11-19,2025-11-19,2025-12-29,F25,4.0,ND,T144N-R88W-S26,exact,47.256675,-101.802611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2699374.0,Loam,Medium,1.19,5.1,30.0,,1.66,1.78,1.0,0.12,,2.4,ok,,ok,full,25-37,ferebee crops cattle,706841ba8db2,monitoring
NW255622,BD,21887647,NW255622,A,2025-11-19,2025-11-19,2025-12-29,F25,4.0,ND,T144N-R88W-S26,exact,47.256675,-101.802611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2699374.0,Loam,Medium,1.19,5.1,30.0,,1.61,1.75,1.2,0.14,,2.6,ok,,ok,full,25-37,ferebee crops cattle,706841ba8db2,monitoring
NW255623,BD,21887648,NW255623,A,2025-11-19,2025-11-19,2025-12-29,F25,4.0,ND,T144N-R88W-S26,exact,47.256675,-101.802611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2699374.0,Loam,Medium,1.19,5.1,30.0,,1.54,1.73,1.6,0.19,,2.5,ok,,ok,full,25-37,ferebee crops cattle,706841ba8db2,monitoring
NW2406,BD,21890615,NW2406,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,MN,T144N-R88W-S15,exact,47.291814,-101.820597,,master_2_trs_correction,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662542.0,Loam,Medium,,5.1,30.0,,2.23,2.47,2.0,0.24,,4.2,,,,full_corrected,25-37,ferebee crops cattle,b4cbaedbc952,monitoring
NW2407,BD,21890616,NW2407,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,MN,T144N-R88W-S15,exact,47.291814,-101.820597,,master_2_trs_correction,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662542.0,Loam,Medium,,5.1,30.0,,2.28,2.52,2.0,0.24,,4.2,,,,full_corrected,25-37,ferebee crops cattle,b4cbaedbc952,monitoring
NW2408,BD,21890617,NW2408,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,MN,T144N-R88W-S15,exact,47.291814,-101.820597,,master_2_trs_correction,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662542.0,Loam,Medium,,5.1,30.0,,2.19,2.47,2.3,0.28,,4.1,,,,full_corrected,25-37,ferebee crops cattle,b4cbaedbc952,monitoring
NW2409,BD,21890618,NW2409,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,MN,T144N-R88W-S15,exact,47.291814,-101.820597,,master_2_trs_correction,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662542.0,Loam,Medium,,5.1,30.0,,2.35,2.6,2.1,0.25,,4.1,,,,full_corrected,25-37,ferebee crops cattle,b4cbaedbc952,monitoring
NW2410,BD,21890619,NW2410,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T144N-R88W-S8,exact,47.3055,-101.849611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662594.0,Sandy Loam,Sandy,1.502,5.1,30.0,,2.69,2.71,0.2,0.02,,5.1,ok,,ok,full,25-37,ferebee crops cattle,9ec3440d5b73,monitoring
NW2411,BD,21890620,NW2411,A,2025-10-18,2025-10-18,2026-03-02,F25,4.0,ND,T144N-R88W-S8,exact,47.3055,-101.849611,ND_W,master_a,Ferebee Crops & Cattle LLC,Ferebee Crops & Cattle LLC,2662594.0,Sandy Loam,Sandy,1.502,5.1,30.0,,2.53,2.53,0.0,0.0,,4.7,ok,,ok,full,25-37,ferebee crops cattle,9ec3440d5b73,monitoring
